category,sound,x,y
DogGrowling,5,-0.5194124254759868,1.4578564719098344
DogGrowling,6,-1.5240800939781949,1.0456439457992792
DogGrowling,7,1.4177338173088265,0.28339244525579604
DogGrowling,8,-0.6969559863662202,-1.1238744312413227
DogGrowling,9,-0.45237988476426455,0.5756774654662206
DogGrowling,10,0.9360394787782614,-0.17154813918434644
DogHowling,1,0.2032052903836173,-1.4931789512958347
DogHowling,2,-1.1776787830016167,-0.2617839053398513
DogHowling,3,0.301279570254754,-0.1008614809229323
DogHowling,4,0.02815274948011101,1.1509300709915464
DogHowling,5,0.17529055773198846,0.9201741600665541
DogHowling,6,-1.5345795871941714,1.0573625054617262
DogHowling,7,1.4634758224250746,-0.13509684765450503
DogHowling,8,-0.5760088347948538,-1.2190341668435352
DogHowling,9,-0.997891669418558,0.36834636398486564
DogHowling,10,2.1147548841348,-0.28685774845558704
Drilling,1,1.724516465763223,0.051195041639477315
Drilling,2,1.2048550318974056,1.8368168605080504
Drilling,3,0.3266719285465258,-0.6400175210616195
Drilling,4,1.318917727290384,-0.9501679660604915
Drilling,5,-1.4932993391952516,-0.14655165968087147
Drilling,6,-1.1442545154886805,1.461583234928818
Drilling,7,0.46928131426158415,0.4402425566494979
Drilling,8,-1.6703604366937679,-0.4612673923863808
Drilling,9,-0.15514490873959252,-2.21359131622052
Drilling,10,-0.5811832676550502,0.6217581616902517
DrillingPneumatic,1,-0.04756363778413668,-1.055295662385359
DrillingPneumatic,2,-1.814558759915864,-0.5390085202191394
DrillingPneumatic,3,1.2929180647329601,-0.7851493720103819
DrillingPneumatic,4,0.4249551011534511,2.094892519833777
DrillingPneumatic,5,0.4858478741863997,0.657151465438651
DrillingPneumatic,6,-1.3995112473653393,0.7098017320689372
DrillingPneumatic,7,1.6197909368240648,-0.16198803276497156
DrillingPneumatic,8,-1.0576294016089478,-2.387275760494205
DrillingPneumatic,9,-0.8731984912294988,1.1260380142972486
DrillingPneumatic,10,1.3689495609812496,0.34083361627355474
Fire,1,0.5255802068780729,-2.5037533251379873
Fire,2,-1.162233032984389,-0.03477563367904731
Fire,3,1.1734241353112786,-0.9921398428205457
Fire,4,0.19056907215629473,2.5227270404763518
Fire,5,0.08077394276147148,0.17032171830080026
Fire,6,-2.2348330181689966,1.210453451797912
Fire,7,0.8534146963601835,-0.514528476170084
Fire,8,-0.15059409492836295,-0.6289599173840199
Fire,9,-0.8532034881568556,0.565203472441828
Fire,10,1.57710158077059,0.20545151216777727
Footsteps,1,0.45799610067020957,-1.5317083229428898
Footsteps,2,-0.857488460843619,-0.1414837210419184
Footsteps,3,1.0089004479243002,-0.7935965501771222
Footsteps,4,-0.13258674982737376,0.888633285287804
Footsteps,5,0.6160232586521339,1.3367793166612696
Footsteps,6,-1.2555174436385188,0.5432133434366
Footsteps,7,0.4324812394803461,0.17861670774633429
Footsteps,8,-1.0091363891041107,-1.1576825187501425
Footsteps,9,-0.23780884509412484,0.7167574756308882
Footsteps,10,0.9771368417920132,-0.03952901586941162
Hammer,1,0.5759246174147881,0.7270215832153475
Hammer,2,1.2608653496773745,0.8758406102097045
Hammer,3,1.4827061301619646,-1.8798967507518172
Hammer,4,0.5408587918334629,-0.7526277047332548
Hammer,5,-1.3667156915822998,-0.6447919182810842
Hammer,6,-1.2182131755851007,1.351551100416598
Hammer,7,-0.07997507517210138,1.1014999711392253
Hammer,8,-0.48004526227484723,-0.055539754351614484
Hammer,9,-0.44833728469313555,-1.2557486621790668
Hammer,10,-0.26706839982628894,0.5326915253660108
Helicopter,1,0.9208492670410856,1.7286130599618177
Helicopter,2,1.3784726209726876,0.3456872587316999
Helicopter,3,1.37440853379075,-1.8803079934087537
Helicopter,4,-0.4624733934635982,-0.6367328746217313
Helicopter,5,-1.329753709699915,0.5764392115548831
Helicopter,6,-1.4074176219411623,-0.5445891245222362
Helicopter,7,-0.5157695315928786,-0.08728610049868374
Helicopter,8,-0.20737624301375845,-1.2037979243565442
Helicopter,9,-0.9266199594204093,1.9103499828522184
Helicopter,10,1.175680037327634,-0.2083754956952941
HorseGalloping,1,1.354205385146003,0.373678387993311
HorseGalloping,2,0.053957566070610974,0.7784141613009772
HorseGalloping,3,0.7590809407282084,-1.0422597808345793
HorseGalloping,4,1.3191227459484436,-0.9307149620108328
HorseGalloping,5,-0.02347610113755387,-0.0030765494116948813
HorseGalloping,6,-1.1889202376724548,1.8096492137056257
HorseGalloping,7,0.9457333296171933,1.258221975896678
HorseGalloping,8,-2.346218481862926,-0.3540674591444055
HorseGalloping,9,-0.35047011495591524,-1.9801659794120647
HorseGalloping,10,-0.5230150318995593,0.09032099194435633
HorseNeighing,1,1.5933400917215192,-0.041441548362670874
HorseNeighing,2,0.9170456203056059,1.3215327303960658
HorseNeighing,3,1.4708991488000336,-1.9666399284397262
HorseNeighing,4,0.6567275320639222,-0.7509182572312292
HorseNeighing,5,-1.1804569908166567,-0.28879100632966337
HorseNeighing,6,-0.29159366346827226,0.6332476657906225
HorseNeighing,7,0.5031022336356366,2.2474707597236008
HorseNeighing,8,-2.6999863125754078,-0.012006128756052592
HorseNeighing,9,-0.4878741540675196,-1.4474810320797722
HorseNeighing,10,-0.48120350563758746,0.30502674531414564
HorseSnorting,1,0.7635568742424366,-0.8905916204276221
HorseSnorting,2,-2.076310794153312,0.24670917899951525
HorseSnorting,3,0.1492877887073218,-0.09269464096572298
HorseSnorting,4,2.2469102993405583,0.6856740720117038
HorseSnorting,5,-0.3208903807295048,-0.2259150182201729
HorseSnorting,6,-1.2102659736197579,1.3410568772029967
HorseSnorting,7,0.22010806652145415,-1.2288241998795861
HorseSnorting,8,0.2681043010821989,1.829057418132823
HorseSnorting,9,-1.5958495156649886,-1.9965297975214538
HorseSnorting,10,1.555349334305065,0.3320577307047871
InsectsBuzzing,1,0.03255260766859975,-1.3650767433067528
InsectsBuzzing,2,-0.9731289298402779,-0.6379096364905122
InsectsBuzzing,3,0.983326749615616,-0.9510130123801082
InsectsBuzzing,4,0.1387421450912554,1.8940418571138418
InsectsBuzzing,5,0.3854776015389995,0.4703035644156426
InsectsBuzzing,6,-1.8390322169459141,1.2045846595781833
InsectsBuzzing,7,1.9369007166145096,0.10198007047856411
InsectsBuzzing,8,-0.4930787032283509,-1.560670708306298
InsectsBuzzing,9,-0.8207240262822229,0.8958599336518225
InsectsBuzzing,10,0.6489640557876579,-0.05209998479030993
InsectsStridulation,1,1.2041462578107704,0.12265468997984977
InsectsStridulation,2,-0.21700853741285428,1.117890898341447
InsectsStridulation,3,0.6729427529366845,-1.5195517664979985
InsectsStridulation,4,1.918958703517946,-1.1796141817807182
InsectsStridulation,5,-0.6680724483738404,-0.4579507439988425
InsectsStridulation,6,-1.0158938613837634,1.6342885379324146
InsectsStridulation,7,0.5533133727679667,0.6786633127161381
InsectsStridulation,8,-1.795113802564847,-0.19588118747467198
InsectsStridulation,9,0.046708432858534904,-1.0828220219540097
InsectsStridulation,10,-0.6999808701356925,0.8823224627504115
JetPassing,1,1.6110786440841771,-0.45544352950212236
JetPassing,2,0.3338559274324835,1.1767813727011225
JetPassing,3,1.1413513096378052,-1.507987517413101
JetPassing,4,0.4540045057759174,-0.313035637669
JetPassing,5,-1.0673079895693593,0.4748129250238939
JetPassing,6,-0.5876451344801782,1.0365804408161543
JetPassing,7,0.31777661873752017,1.3542304282465822
